duplicate_group_id,filepath,class_name,source_subfolder
15,data\raw\casting_data\test\ok_front\cast_ok_0_1092.jpeg,normal,test
15,data\raw\casting_data\train\ok_front\cast_ok_0_1092.jpeg,normal,train
16,data\raw\casting_data\test\ok_front\cast_ok_0_1093.jpeg,normal,test
16,data\raw\casting_data\train\ok_front\cast_ok_0_1093.jpeg,normal,train
17,data\raw\casting_data\test\ok_front\cast_ok_0_1095.jpeg,normal,test
17,data\raw\casting_data\train\ok_front\cast_ok_0_1095.jpeg,normal,train
18,data\raw\casting_data\test\ok_front\cast_ok_0_1096.jpeg,normal,test
18,data\raw\casting_data\train\ok_front\cast_ok_0_1096.jpeg,normal,train
19,data\raw\casting_data\test\ok_front\cast_ok_0_1120.jpeg,normal,test
19,data\raw\casting_data\train\ok_front\cast_ok_0_1120.jpeg,normal,train
20,data\raw\casting_data\test\ok_front\cast_ok_0_1121.jpeg,normal,test
20,data\raw\casting_data\train\ok_front\cast_ok_0_1121.jpeg,normal,train
21,data\raw\casting_data\test\ok_front\cast_ok_0_1127.jpeg,normal,test
21,data\raw\casting_data\train\ok_front\cast_ok_0_1127.jpeg,normal,train
22,data\raw\casting_data\test\ok_front\cast_ok_0_1132.jpeg,normal,test
22,data\raw\casting_data\train\ok_front\cast_ok_0_1132.jpeg,normal,train
23,data\raw\casting_data\test\ok_front\cast_ok_0_1134.jpeg,normal,test
23,data\raw\casting_data\train\ok_front\cast_ok_0_1134.jpeg,normal,train
24,data\raw\casting_data\test\ok_front\cast_ok_0_1137.jpeg,normal,test
24,data\raw\casting_data\train\ok_front\cast_ok_0_1137.jpeg,normal,train
25,data\raw\casting_data\test\ok_front\cast_ok_0_1140.jpeg,normal,test
25,data\raw\casting_data\train\ok_front\cast_ok_0_1140.jpeg,normal,train
26,data\raw\casting_data\test\ok_front\cast_ok_0_1144.jpeg,normal,test
26,data\raw\casting_data\train\ok_front\cast_ok_0_1144.jpeg,normal,train
27,data\raw\casting_data\test\ok_front\cast_ok_0_1160.jpeg,normal,test
27,data\raw\casting_data\train\ok_front\cast_ok_0_1160.jpeg,normal,train
28,data\raw\casting_data\test\ok_front\cast_ok_0_1165.jpeg,normal,test
28,data\raw\casting_data\train\ok_front\cast_ok_0_1165.jpeg,normal,train
29,data\raw\casting_data\test\ok_front\cast_ok_0_1169.jpeg,normal,test
29,data\raw\casting_data\train\ok_front\cast_ok_0_1169.jpeg,normal,train
30,data\raw\casting_data\test\ok_front\cast_ok_0_1171.jpeg,normal,test
30,data\raw\casting_data\train\ok_front\cast_ok_0_1171.jpeg,normal,train
31,data\raw\casting_data\test\ok_front\cast_ok_0_1172.jpeg,normal,test
31,data\raw\casting_data\train\ok_front\cast_ok_0_1172.jpeg,normal,train
32,data\raw\casting_data\test\ok_front\cast_ok_0_1173.jpeg,normal,test
32,data\raw\casting_data\train\ok_front\cast_ok_0_1173.jpeg,normal,train
33,data\raw\casting_data\test\ok_front\cast_ok_0_1176.jpeg,normal,test
33,data\raw\casting_data\train\ok_front\cast_ok_0_1176.jpeg,normal,train
34,data\raw\casting_data\test\ok_front\cast_ok_0_1180.jpeg,normal,test
34,data\raw\casting_data\train\ok_front\cast_ok_0_1180.jpeg,normal,train
35,data\raw\casting_data\test\ok_front\cast_ok_0_1200.jpeg,normal,test
35,data\raw\casting_data\train\ok_front\cast_ok_0_1200.jpeg,normal,train
36,data\raw\casting_data\test\ok_front\cast_ok_0_1202.jpeg,normal,test
36,data\raw\casting_data\train\ok_front\cast_ok_0_1202.jpeg,normal,train
37,data\raw\casting_data\test\ok_front\cast_ok_0_1203.jpeg,normal,test
37,data\raw\casting_data\train\ok_front\cast_ok_0_1203.jpeg,normal,train
38,data\raw\casting_data\test\ok_front\cast_ok_0_1207.jpeg,normal,test
38,data\raw\casting_data\train\ok_front\cast_ok_0_1207.jpeg,normal,train
39,data\raw\casting_data\test\ok_front\cast_ok_0_1209.jpeg,normal,test
39,data\raw\casting_data\train\ok_front\cast_ok_0_1209.jpeg,normal,train
40,data\raw\casting_data\test\ok_front\cast_ok_0_1210.jpeg,normal,test
40,data\raw\casting_data\train\ok_front\cast_ok_0_1210.jpeg,normal,train
41,data\raw\casting_data\test\ok_front\cast_ok_0_1213.jpeg,normal,test
41,data\raw\casting_data\train\ok_front\cast_ok_0_1213.jpeg,normal,train
42,data\raw\casting_data\test\ok_front\cast_ok_0_1218.jpeg,normal,test
42,data\raw\casting_data\train\ok_front\cast_ok_0_1218.jpeg,normal,train
43,data\raw\casting_data\test\ok_front\cast_ok_0_863.jpeg,normal,test
43,data\raw\casting_data\train\ok_front\cast_ok_0_863.jpeg,normal,train
44,data\raw\casting_data\test\ok_front\cast_ok_0_864.jpeg,normal,test
44,data\raw\casting_data\train\ok_front\cast_ok_0_864.jpeg,normal,train
45,data\raw\casting_data\test\ok_front\cast_ok_0_869.jpeg,normal,test
45,data\raw\casting_data\train\ok_front\cast_ok_0_869.jpeg,normal,train
46,data\raw\casting_data\test\ok_front\cast_ok_0_880.jpeg,normal,test
46,data\raw\casting_data\train\ok_front\cast_ok_0_880.jpeg,normal,train
47,data\raw\casting_data\test\ok_front\cast_ok_0_897.jpeg,normal,test
47,data\raw\casting_data\train\ok_front\cast_ok_0_897.jpeg,normal,train
48,data\raw\casting_data\test\ok_front\cast_ok_0_903.jpeg,normal,test
48,data\raw\casting_data\train\ok_front\cast_ok_0_903.jpeg,normal,train
49,data\raw\casting_data\test\ok_front\cast_ok_0_904.jpeg,normal,test
49,data\raw\casting_data\train\ok_front\cast_ok_0_904.jpeg,normal,train
50,data\raw\casting_data\test\ok_front\cast_ok_0_907.jpeg,normal,test
50,data\raw\casting_data\train\ok_front\cast_ok_0_907.jpeg,normal,train
51,data\raw\casting_data\test\ok_front\cast_ok_0_925.jpeg,normal,test
51,data\raw\casting_data\train\ok_front\cast_ok_0_925.jpeg,normal,train
52,data\raw\casting_data\test\ok_front\cast_ok_0_927.jpeg,normal,test
52,data\raw\casting_data\train\ok_front\cast_ok_0_927.jpeg,normal,train
53,data\raw\casting_data\test\ok_front\cast_ok_0_932.jpeg,normal,test
53,data\raw\casting_data\train\ok_front\cast_ok_0_932.jpeg,normal,train
54,data\raw\casting_data\test\ok_front\cast_ok_0_935.jpeg,normal,test
54,data\raw\casting_data\train\ok_front\cast_ok_0_935.jpeg,normal,train
55,data\raw\casting_data\test\ok_front\cast_ok_0_937.jpeg,normal,test
55,data\raw\casting_data\train\ok_front\cast_ok_0_937.jpeg,normal,train
56,data\raw\casting_data\test\ok_front\cast_ok_0_942.jpeg,normal,test
56,data\raw\casting_data\train\ok_front\cast_ok_0_942.jpeg,normal,train
57,data\raw\casting_data\test\ok_front\cast_ok_0_952.jpeg,normal,test
57,data\raw\casting_data\train\ok_front\cast_ok_0_952.jpeg,normal,train
58,data\raw\casting_data\test\ok_front\cast_ok_0_960.jpeg,normal,test
58,data\raw\casting_data\train\ok_front\cast_ok_0_960.jpeg,normal,train
59,data\raw\casting_data\test\ok_front\cast_ok_0_973.jpeg,normal,test
59,data\raw\casting_data\train\ok_front\cast_ok_0_973.jpeg,normal,train
60,data\raw\casting_data\test\ok_front\cast_ok_0_975.jpeg,normal,test
60,data\raw\casting_data\train\ok_front\cast_ok_0_975.jpeg,normal,train
61,data\raw\casting_data\test\ok_front\cast_ok_0_976.jpeg,normal,test
61,data\raw\casting_data\train\ok_front\cast_ok_0_976.jpeg,normal,train
62,data\raw\casting_data\test\ok_front\cast_ok_0_989.jpeg,normal,test
62,data\raw\casting_data\train\ok_front\cast_ok_0_989.jpeg,normal,train
63,data\raw\casting_data\test\ok_front\cast_ok_0_998.jpeg,normal,test
63,data\raw\casting_data\train\ok_front\cast_ok_0_998.jpeg,normal,train
