filepath,class_name
data\raw\casting_data\test\ok_front\cast_ok_0_5012.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_505.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_526.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_5560.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_5567.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_5587.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_5605.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_5606.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_5805.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_5815.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_64.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_6401.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_6681.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_6682.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_6714.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_6718.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_7044.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_7611.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_7624.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_7823.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_7839.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_7900.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_7901.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_7936.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_7945.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_7946.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_8010.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_8011.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_8177.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_8189.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_8192.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_8612.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_8637.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_8644.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_8652.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_880.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_897.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_903.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_907.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_925.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_927.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_932.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_935.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_937.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_942.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_952.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_973.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_975.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_9918.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_9925.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_9928.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_9934.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_9943.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_9955.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_9961.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_9967.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_9973.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_9975.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_9988.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_9993.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1001.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1002.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1005.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_101.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1013.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1019.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_102.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1020.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1021.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1022.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1026.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1028.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1031.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_104.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1041.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1050.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1057.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1062.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1069.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_108.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1088.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1092.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1093.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1095.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1096.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1099.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1103.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1116.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_112.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1120.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1134.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1137.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_114.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1144.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1148.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1149.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1153.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1165.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1169.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1171.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1173.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1176.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_118.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1180.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1181.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1184.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1189.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1193.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_120.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1200.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1203.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1209.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1210.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1213.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1218.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_122.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1229.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1241.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1254.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1258.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1260.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1268.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_127.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1279.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_128.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1290.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1291.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1292.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1293.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1294.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1296.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1298.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1301.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1302.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1303.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1307.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1308.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_142.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_143.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1440.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1443.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1445.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1450.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1453.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1454.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1456.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1458.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1459.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_146.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1460.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1464.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1468.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1469.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_147.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1477.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1480.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1486.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_149.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1490.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1491.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1514.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1516.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1527.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1529.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1531.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1534.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1539.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_154.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1549.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1552.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1556.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1558.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1562.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1565.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_157.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1588.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1594.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1595.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1601.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1606.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1610.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1611.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1612.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1615.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1616.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1624.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1628.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1630.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1634.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1643.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1655.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1658.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1659.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1663.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1665.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1667.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_167.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1670.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1674.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1675.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1678.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1680.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1682.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1684.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1686.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1687.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1688.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_169.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1692.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1693.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_170.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1704.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_171.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1717.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1720.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1723.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1728.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1730.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1739.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1742.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1745.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1747.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_175.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1754.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1755.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1756.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1763.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1765.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1770.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1771.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1781.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1782.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1783.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1784.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1785.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1791.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1792.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1795.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1797.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1802.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1805.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1807.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1815.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1835.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1839.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_184.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1841.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1851.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1856.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1858.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1859.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_186.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1869.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1879.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_188.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1883.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1885.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_189.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1891.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1892.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_19.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1900.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1902.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1907.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1917.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1918.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1921.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_193.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1933.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1937.jpeg,normal
data\raw\casting_data\train\ok_front\cast_ok_0_1941.jpeg,normal
